State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
LA,2023,977.0,1,719.0,Masonry,9,127830.0,2000,Rural,2,False,False,6.81,21.22,16,127310.0,0.583,56.05,72.6,12.07,93,7.83,Poor,0,Low,3,520.0,False,Low,300.0,0,0.0
CA,2005,1123.0,0,700.0,Fire Resistive,3,208593.0,1000,Suburban,6,True,True,1.0,51.47,120,165920.0,3.017,25.01,45.5,7.57,69,31.35,Adequate,0,High,21,42673.0,True,Low,373.47,0,0.0
TX,1957,1631.0,0,780.0,Frame,6,290807.0,2000,Urban,30,False,False,27.58,31.14,120,222633.0,0.714,29.08,18.65,5.29,66,14.91,Adequate,2,Low,69,68174.0,False,Moderate,1609.46,0,0.0
CA,1973,1309.0,0,700.0,Masonry,8,287753.0,2000,Rural,14,True,True,14.31,15.24,120,211085.0,0.615,34.95,42.08,5.92,46,2.96,Adequate,0,Low,53,76668.0,True,Low,716.05,0,0.0
MA,1961,1943.0,0,700.0,Masonry,3,397006.0,1000,Rural,12,True,False,12.47,5.73,120,298260.0,0.159,43.99,38.19,0.53,31,6.57,Adequate,2,Low,65,98746.0,True,Low,872.11,0,0.0
LA,1970,2133.0,0,648.0,Frame,1,564613.0,1000,Suburban,7,True,False,12.78,0.44,120,343734.0,0.39,25.58,81.18,4.79,33,6.74,Excellent,0,Low,56,220879.0,False,Moderate,1440.57,1,35246.27
LA,2009,2723.0,1,741.0,Frame,2,443491.0,2000,Suburban,9,False,True,31.93,20.9,17,420031.0,0.413,32.94,56.12,32.18,66,2.14,Adequate,0,Moderate,17,23460.0,False,Moderate,1468.27,0,0.0
MA,1976,2982.0,0,700.0,Fire Resistive,6,544827.0,2000,Suburban,22,True,True,26.56,0.19,120,502733.0,0.809,13.97,76.02,7.11,51,14.91,Excellent,0,Moderate,50,42094.0,True,Moderate,1949.19,0,0.0
NY,1967,2204.0,0,827.0,Frame,3,394329.0,2000,Suburban,24,True,True,35.12,12.52,120,420807.0,0.605,44.97,54.14,8.09,58,1.82,Adequate,0,Low,59,0.0,False,Moderate,1584.91,0,0.0
CO,1988,1586.0,0,687.0,Frame,3,497130.0,2000,Urban,6,True,True,9.6,79.01,120,271771.0,0.287,39.9,50.06,1.98,55,29.49,Poor,5,Low,38,225359.0,False,Elevated,2145.58,0,0.0
CA,2002,2036.0,0,700.0,Frame,2,431927.0,1000,Suburban,26,False,True,22.35,18.22,120,313786.0,0.377,19.91,40.93,1.46,98,1.29,Adequate,0,Low,24,118141.0,True,Moderate,1091.36,0,0.0
CA,2011,2204.0,0,700.0,Frame,6,294287.0,1000,Urban,21,True,True,3.53,93.97,120,405266.0,1.288,44.16,52.78,8.95,97,4.67,Adequate,0,Moderate,15,0.0,True,Elevated,2467.2,0,0.0
LA,1984,2438.0,0,693.0,Fire Resistive,4,409043.0,1000,Suburban,21,True,True,8.67,21.1,120,393715.0,0.388,50.36,9.41,10.41,63,1.67,Adequate,1,High,42,15328.0,False,Low,868.95,0,0.0
NY,1993,1707.0,0,600.0,Frame,10,291452.0,500,Urban,17,False,False,4.33,0.29,120,353322.0,1.684,4.08,49.73,0.39,85,4.8,Poor,0,Low,33,0.0,False,Moderate,1325.64,0,0.0
CO,2004,2105.0,0,747.0,Masonry,8,443975.0,5000,Rural,8,True,False,25.6,3.46,120,382660.0,0.585,34.08,40.08,2.22,75,0.31,Poor,2,Low,22,61315.0,False,Moderate,1456.7,0,0.0
MA,2004,2587.0,0,700.0,Fire Resistive,3,583522.0,500,Rural,7,False,False,0.0,5.04,120,385077.0,0.521,22.86,21.85,3.21,58,5.94,Poor,0,Moderate,22,198445.0,True,Moderate,1062.18,1,57255.03
OK,2013,2772.0,1,578.0,Frame,5,698310.0,500,Rural,4,True,True,22.79,36.88,13,488167.0,0.234,47.65,90.43,0.02,71,8.66,Excellent,3,Low,13,210143.0,False,High,3606.0,0,0.0
CO,2012,1992.0,0,720.0,Frame,1,395654.0,500,Rural,3,False,True,0.0,28.55,120,319211.0,0.442,31.41,39.96,12.24,65,5.9,Adequate,3,High,14,76443.0,False,Low,448.44,0,0.0
CO,1971,1437.0,0,611.0,Frame,5,316063.0,2000,Urban,20,False,False,33.63,8.38,120,283960.0,0.157,24.2,75.29,11.82,64,2.27,Adequate,5,Low,55,32103.0,False,Elevated,3253.1,0,0.0
FL,2016,2862.0,0,844.0,Masonry,5,382982.0,1000,Rural,7,False,True,19.32,0.9,120,441072.0,0.511,21.9,22.95,2.97,68,0.65,Excellent,0,Low,10,0.0,False,Low,414.42,0,0.0
CA,1985,1926.0,0,700.0,Frame,3,375615.0,1000,Suburban,16,False,True,35.78,10.09,120,353324.0,0.872,31.19,48.54,7.73,67,11.2,Adequate,3,Low,41,22291.0,True,Moderate,1101.48,0,0.0
NY,1971,2779.0,0,638.0,Frame,8,657817.0,500,Urban,29,False,False,11.04,13.62,120,480853.0,1.333,29.23,14.06,1.16,83,32.91,Poor,0,Low,55,176964.0,False,High,4369.96,0,0.0
TX,1993,2166.0,0,795.0,Fire Resistive,9,383787.0,1000,Suburban,18,True,False,29.4,0.36,120,496684.0,1.755,6.67,69.76,0.15,87,11.85,Poor,5,Low,33,0.0,False,Elevated,2370.95,1,76732.19
FL,2003,1988.0,0,597.0,Frame,6,329748.0,2000,Suburban,21,True,True,20.02,7.02,120,264698.0,0.679,15.06,34.99,6.17,90,2.71,Adequate,1,Low,23,65050.0,False,Moderate,1048.81,0,0.0
WA,1978,2335.0,0,733.0,Frame,9,568447.0,1000,Urban,16,False,False,30.56,13.52,120,432287.0,0.213,27.25,59.82,1.99,57,15.22,Adequate,1,Moderate,48,136160.0,False,High,4101.05,0,0.0
TX,1950,2667.0,0,748.0,Frame,8,825009.0,500,Rural,30,False,False,9.3,0.46,120,469097.0,0.664,14.43,55.32,0.29,33,1.57,Poor,1,Low,76,355912.0,False,High,3575.63,0,0.0
CA,1975,1427.0,0,700.0,Fire Resistive,9,293721.0,2000,Urban,20,False,False,12.33,20.72,120,206072.0,1.115,29.03,64.17,3.8,60,30.86,Poor,0,Low,51,87649.0,True,Moderate,1384.36,0,0.0
TX,2016,3501.0,0,674.0,Frame,3,755239.0,5000,Suburban,9,True,False,16.18,0.2,120,681236.0,0.918,19.52,12.46,2.52,86,7.93,Poor,3,Moderate,10,74003.0,False,Moderate,1179.78,0,0.0
FL,1987,1169.0,0,795.0,Masonry,4,261328.0,5000,Suburban,5,False,False,12.4,0.01,120,272847.0,0.531,40.95,30.42,2.91,52,0.15,Adequate,2,Moderate,39,0.0,False,Low,542.51,0,0.0
LA,1986,2391.0,0,712.0,Frame,7,372352.0,1000,Urban,14,False,False,9.5,3.93,120,369239.0,1.276,19.15,48.41,20.46,47,8.42,Poor,0,Low,40,3113.0,False,Moderate,1946.16,0,0.0
CO,1989,2003.0,0,749.0,Frame,8,414239.0,1000,Rural,17,True,True,7.94,15.12,120,359733.0,0.456,43.31,94.45,5.73,74,16.33,Adequate,2,Low,37,54506.0,False,Low,969.38,0,0.0
MA,2017,1228.0,1,700.0,Frame,8,217809.0,500,Suburban,2,False,True,1.69,6.67,7,280074.0,0.926,15.66,34.92,1.12,87,1.05,Poor,0,Moderate,9,0.0,True,Low,514.32,0,0.0
LA,1987,2855.0,0,800.0,Masonry,7,480297.0,5000,Suburban,14,True,True,0.97,7.88,120,496607.0,1.258,8.47,57.08,5.54,47,1.78,Excellent,0,Low,39,0.0,False,Low,911.93,1,45513.6
FL,1968,1413.0,0,611.0,Fire Resistive,2,414485.0,1000,Suburban,23,True,True,5.57,3.46,120,387188.0,0.357,32.03,51.87,1.41,86,12.31,Poor,3,High,58,27297.0,False,Low,946.87,0,0.0
WA,1965,1479.0,0,627.0,Frame,5,301163.0,1000,Suburban,25,True,True,12.16,30.99,120,230497.0,1.057,8.03,100.0,2.25,59,45.0,Excellent,1,Low,61,70666.0,False,Moderate,1794.81,0,0.0
TX,1994,1836.0,2,637.0,Fire Resistive,9,342953.0,1000,Rural,11,False,False,6.62,16.71,3,303289.0,1.118,24.6,41.52,4.74,63,45.0,Excellent,6,Low,32,39664.0,False,Moderate,1527.46,0,0.0
CA,2007,1603.0,0,700.0,Frame,3,418381.0,1000,Urban,1,False,False,23.68,4.36,120,391314.0,0.4,58.25,32.09,3.77,57,0.73,Adequate,2,Low,19,27067.0,True,Moderate,1584.31,0,0.0
CA,1978,1985.0,0,700.0,Frame,4,428743.0,1000,Suburban,25,False,False,2.89,46.73,120,294782.0,1.7,52.29,56.74,4.01,79,13.95,Poor,1,High,48,133961.0,True,Moderate,1103.02,0,0.0
LA,1976,2139.0,0,716.0,Fire Resistive,9,576261.0,500,Rural,7,False,False,3.74,0.01,120,352850.0,2.356,23.69,60.7,6.1,37,2.2,Adequate,0,Low,50,223411.0,False,Moderate,1403.18,0,0.0
NY,2020,1782.0,0,766.0,Frame,3,337408.0,1000,Urban,10,False,True,0.0,33.26,120,217765.0,0.999,33.94,53.95,6.26,97,26.49,Poor,0,Low,6,119643.0,False,Low,625.59,0,0.0
TX,1982,1810.0,0,779.0,Fire Resistive,2,379764.0,1000,Suburban,13,True,False,30.69,0.89,120,369617.0,0.229,27.23,30.34,1.16,62,14.74,Poor,7,Low,44,10147.0,False,Moderate,1419.27,0,0.0
NY,1967,2050.0,0,632.0,Frame,4,497019.0,500,Suburban,27,False,True,24.55,45.64,120,366601.0,2.33,26.8,37.34,0.18,74,5.3,Adequate,1,Low,59,130418.0,False,High,4032.15,0,0.0
TX,1983,2009.0,0,727.0,Frame,7,378913.0,500,Urban,12,True,False,4.98,3.8,120,384050.0,0.439,35.56,64.0,3.15,53,2.26,Adequate,1,Low,43,0.0,False,Moderate,1269.25,0,0.0
LA,1972,3125.0,0,607.0,Masonry,1,736675.0,1000,Suburban,22,False,False,14.62,46.94,120,544807.0,0.176,32.84,50.95,18.02,49,0.87,Poor,0,Moderate,54,191868.0,False,Elevated,2690.27,0,0.0
NY,1993,2055.0,1,690.0,Fire Resistive,9,328786.0,1000,Suburban,22,False,False,5.51,14.23,25,368685.0,0.811,32.89,69.32,0.66,88,16.35,Poor,2,Low,33,0.0,False,Moderate,1119.68,0,0.0
FL,1996,3198.0,0,824.0,Frame,7,603399.0,1000,Rural,13,False,False,0.0,15.82,120,574809.0,0.534,5.0,70.52,16.98,57,7.57,Adequate,0,High,30,28590.0,False,Moderate,1377.41,0,0.0
FL,1982,2431.0,0,664.0,Frame,1,502666.0,500,Urban,20,False,True,14.52,10.47,120,497142.0,0.459,43.09,49.02,2.99,75,13.23,Adequate,0,Low,44,5524.0,False,Moderate,1184.82,0,0.0
OK,2009,2297.0,0,704.0,Frame,1,509615.0,1000,Suburban,23,False,False,26.31,9.51,120,369362.0,0.174,12.11,54.37,4.34,99,15.83,Adequate,4,High,17,140253.0,False,Elevated,2493.04,0,0.0
FL,1951,1694.0,1,598.0,Frame,3,478426.0,5000,Rural,29,False,True,12.38,4.58,11,332731.0,0.949,21.12,54.3,13.14,46,4.59,Excellent,1,Low,75,145695.0,False,Elevated,2950.01,0,0.0
CA,1957,2287.0,0,700.0,Masonry,9,497198.0,1000,Suburban,30,False,False,27.82,0.89,120,519926.0,3.474,14.92,71.95,2.99,78,7.94,Adequate,1,Low,69,0.0,True,Elevated,3042.46,0,0.0
CA,1958,1710.0,0,700.0,Frame,2,360829.0,1000,Urban,9,True,False,12.29,52.03,120,385103.0,0.366,50.36,13.83,0.43,32,39.22,Adequate,0,Low,68,0.0,True,Moderate,1176.06,0,0.0
Other,1985,1736.0,0,838.0,Frame,9,352093.0,500,Suburban,13,False,True,20.32,1.41,120,291807.0,0.306,48.41,53.46,1.11,61,8.33,Excellent,2,Low,41,60286.0,False,Moderate,1139.07,0,0.0
GA,1962,1925.0,0,799.0,Fire Resistive,9,322602.0,2000,Urban,18,False,False,17.63,1.48,120,386491.0,0.877,47.1,85.71,5.36,38,0.62,Poor,1,Low,64,0.0,False,Moderate,1582.48,0,0.0
LA,2018,2831.0,0,674.0,Frame,4,778708.0,2000,Rural,13,False,False,4.89,16.94,120,521199.0,0.25,65.93,37.3,8.15,99,3.12,Adequate,1,Low,8,257509.0,False,Moderate,1760.31,0,0.0
TX,1970,2399.0,0,671.0,Masonry,10,494868.0,1000,Suburban,10,False,False,2.06,50.91,120,394886.0,0.936,58.57,45.43,1.8,33,2.64,Excellent,1,Low,56,99982.0,False,Moderate,1899.84,0,0.0
Other,2012,2006.0,0,590.0,Frame,4,599574.0,2000,Rural,2,True,False,12.23,6.04,120,387708.0,0.244,10.8,62.45,3.17,77,6.71,Poor,2,Moderate,14,211866.0,False,Moderate,1219.05,0,0.0
MA,2017,2216.0,1,700.0,Frame,1,544757.0,500,Suburban,11,True,True,0.0,5.46,31,421977.0,0.132,76.11,44.95,0.27,99,13.32,Adequate,0,Low,9,122780.0,True,Moderate,1449.05,0,0.0
LA,1972,2134.0,1,576.0,Frame,9,541218.0,500,Rural,21,False,True,19.55,9.04,20,337932.0,1.002,22.57,72.13,21.76,58,10.45,Adequate,1,High,54,203286.0,False,High,5926.11,0,0.0
NY,1960,1848.0,0,774.0,Frame,9,252355.0,5000,Suburban,29,True,False,26.98,25.63,120,294968.0,1.437,49.13,44.78,1.38,60,40.16,Poor,1,Low,66,0.0,False,Moderate,1165.7,0,0.0
TX,2019,2567.0,0,729.0,Frame,3,425664.0,1000,Urban,4,False,False,1.92,6.64,120,387555.0,0.242,20.62,33.23,0.9,76,9.73,Adequate,2,Moderate,7,38109.0,False,Low,564.94,0,0.0
CA,1995,2374.0,0,700.0,Frame,8,374591.0,1000,Urban,6,True,False,13.61,3.59,120,354844.0,0.227,8.27,63.81,5.53,39,0.5,Adequate,0,Low,31,19747.0,True,Moderate,1170.98,0,0.0
GA,1971,2035.0,1,510.0,Frame,1,414129.0,500,Rural,20,False,True,21.62,14.72,28,259956.0,0.551,40.46,55.15,7.36,45,21.46,Poor,0,Low,55,154173.0,False,High,3548.64,0,0.0
NY,1999,2737.0,0,734.0,Masonry,9,637142.0,5000,Suburban,3,False,False,7.89,38.82,120,592301.0,0.554,56.6,71.83,0.63,49,13.85,Poor,1,Low,27,44841.0,False,Moderate,1996.22,0,0.0
TX,1987,2465.0,0,850.0,Frame,1,602575.0,2000,Urban,11,True,False,27.48,0.02,120,513274.0,0.077,15.97,53.37,15.0,61,0.11,Poor,3,Low,39,89301.0,False,Elevated,2080.55,0,0.0
FL,1987,2423.0,0,728.0,Fire Resistive,4,573454.0,1000,Rural,16,False,False,24.53,1.07,120,454452.0,1.001,21.29,20.44,3.67,70,3.05,Adequate,0,Low,39,119002.0,False,Moderate,1806.39,0,0.0
CO,2003,1371.0,0,669.0,Fire Resistive,4,299711.0,1000,Suburban,1,True,False,34.73,1.78,120,239075.0,0.309,2.02,81.63,2.35,43,27.86,Excellent,4,Low,23,60636.0,False,Moderate,1359.21,0,0.0
TX,1954,1714.0,0,662.0,Frame,5,437020.0,2000,Urban,27,False,False,12.28,4.33,120,201892.0,1.275,44.32,51.95,4.53,37,10.08,Adequate,5,Low,72,235128.0,False,Elevated,3053.04,0,0.0
WA,2000,2041.0,0,647.0,Frame,8,342062.0,500,Rural,12,False,True,7.35,39.54,120,316325.0,0.179,36.61,85.54,0.89,69,20.37,Adequate,0,Low,26,25737.0,False,Moderate,1791.17,0,0.0
MA,1979,2106.0,0,700.0,Masonry,2,468657.0,2000,Urban,23,False,False,8.31,0.35,120,395989.0,0.557,19.41,64.47,4.17,80,0.65,Poor,0,Low,47,72668.0,True,Low,993.22,0,0.0
LA,1963,2649.0,0,590.0,Frame,7,609865.0,2000,Suburban,20,True,False,11.65,3.04,120,517339.0,4.659,12.86,46.34,2.63,42,9.11,Adequate,1,Moderate,63,92526.0,False,Elevated,2575.84,0,0.0
